kanji,kana,level
嗚呼,ああ,n1
相,あい,n1
相変わらず,あいかわらず,n1
愛想,あいそ,n1
相対,あいたい,n1
間柄,あいだがら,n1
愛憎,あいにく,n1
合間,あいま,n1
曖昧,あいまい,n1
敢えて,あえて,n1
仰ぐ,あおぐ,n1
垢,あか,n1
亜科,あか,n1
銅,あかがね,n1
証,あかし,n1
赤字,あかじ,n1
明かす,あかす,n1
赤ちゃん,あかちゃん,n1
明白,あからさま,n1
赤らむ,あからむ,n1
明るい,あかるい,n1
上がり,あがり,n1
上がる,あがる,n1
商人,あきうど,n1
空間,あきま,n1
諦め,あきらめ,n1
呆れる,あきれる,n1
悪,あく,n1
灰,あく,n1
あくどい,あくどい,n1
悪日,あくび,n1
明くる,あくる,n1
憧れ,あこがれ,n1
顎,あご,n1
麻,あさ,n1
明後日,あさって,n1
朝寝坊,あさねぼう,n1
浅ましい,あさましい,n1
字,あざ,n1
欺く,あざむく,n1
鮮やか,あざやか,n1
あざ笑う,あざわらう,n1
味わい,あじわい,n1
東,あずま,n1
焦る,あせる,n1
彼処,あそこ,n1
値,あたい,n1
値する,あたいする,n1
私,あたし,n1
当たり,あたり,n1
当たり前,あたりまえ,n1
他人,あだびと,n1
彼方此方,あちこち,n1
彼方,あちら,n1
彼方此方,あちらこちら,n1
悪化,あっか,n1
呆気ない,あっけない,n1
悪口,あっこう,n1
あっさり,あっさり,n1
圧迫,あっぱく,n1
扱い,あつかい,n1
集まる,あつまる,n1
誂える,あつらえる,n1
圧力,あつりょく,n1
当て,あて,n1
宛,あて,n1
当て字,あてじ,n1
当てはまる,あてはまる,n1
当てはめる,あてはめる,n1
宛てる,あてる,n1
跡継ぎ,あとつぎ,n1
後回し,あとまわし,n1
貴女,あなた,n1
彼の,あの,n1
溢れる,あふれる,n1
油絵,あぶらえ,n1
炙る,あぶる,n1
あべこべ,あべこべ,n1
甘える,あまえる,n1
甘口,あまくち,n1
雨具,あまぐ,n1
天,あまつ,n1
網,あみ,n1
天地,あめつち,n1
操る,あやつる,n1
あやふや,あやふや,n1
危ぶむ,あやぶむ,n1
過ち,あやまち,n1
誤る,あやまる,n1
歩み,あゆみ,n1
歩む,あゆむ,n1
あら,あら,n1
予め,あらかじめ,n1
荒らす,あらす,n1
粗筋,あらすじ,n1
争い,あらそい,n1
改まる,あらたまる,n1
荒っぽい,あらっぽい,n1
凡ゆる,あらゆる,n1
あられ,あられ,n1
現われ,あらわれ,n1
現われる,あらわれる,n1
有難う,ありがとう,n1
有様,ありさま,n1
有りのまま,ありのまま,n1
或る,ある,n1
或いは,あるいは,n1
彼此,あれこれ,n1
合わす,あわす,n1
合わせ,あわせ,n1
慌ただしい,あわただしい,n1
慌てる,あわてる,n1
暗殺,あんさつ,n1
暗算,あんざん,n1
暗示,あんじ,n1
案じる,あんじる,n1
安静,あんせい,n1
案の定,あんのじょう,n1
余り,あんまり,n1
依,い,n1
良い,いい,n1
伊井,いい,n1
否,いいえ,n1
いい加減,いいかげん,n1
言い訳,いいわけ,n1
家出,いえで,n1
家主,いえぬし,n1
如何,いかが,n1
生かす,いかす,n1
雷,いかずち,n1
如何に,いかに,n1
如何にも,いかにも,n1
怒り,いかり,n1
怒る,いかる,n1
歪む,いがむ,n1
粋,いき,n1
域外,いきがい,n1
意気込む,いきごむ,n1
経緯,いきさつ,n1
行き違い,いきちがい,n1
行き成り,いきなり,n1
異議,いぎ,n1
いく,いく,n1
軍,いくさ,n1
戦,いくさ,n1
育成,いくせい,n1
幾多,いくた,n1
活ける,いける,n1
異見,いけん,n1
意向,いこう,n1
移行,いこう,n1
いざ,いざ,n1
碑,いしぶみ,n1
衣装,いしょう,n1
意地,いじ,n1
苛める,いじめる,n1
移住,いじゅう,n1
弄る,いじる,n1
何れ,いずれ,n1
異性,いせい,n1
遺跡,いせき,n1
依然,いぜん,n1
依存,いそん,n1
委託,いたく,n1
悪戯,いたずら,n1
頂,いただき,n1
戴きます,いただきます,n1
至って,いたって,n1
痛む,いたむ,n1
痛める,いためる,n1
炒める,いためる,n1
労る,いたわる,n1
市,いち,n1
位地,いち,n1
一々,いちいち,n1
一概に,いちがいに,n1
一見,いちげん,n1
一言,いちげん,n1
一日,いちじつ,n1
一定,いちじょう,n1
著しい,いちじるしい,n1
一同,いちどう,n1
一人,いちにん,n1
一部,いちぶ,n1
一部分,いちぶぶん,n1
一別,いちべつ,n1
一面,いちめん,n1
一目,いちもく,n1
一様,いちよう,n1
一律,いちりつ,n1
一連,いちれん,n1
一括,いっかつ,n1
一気,いっき,n1
一挙に,いっきょに,n1
一切,いっさい,n1
一心,いっしん,n1
いっそ,いっそ,n1
一帯,いったい,n1
一敗,いっぱい,n1
一変,いっぺん,n1
何時,いつ,n1
何時か,いつか,n1
何時でも,いつでも,n1
何時の間にか,いつのまにか,n1
何時までも,いつまでも,n1
何時も,いつも,n1
意図,いと,n1
営む,いとなむ,n1
暇,いとま,n1
異動,いどう,n1
挑む,いどむ,n1
稲光,いなびかり,n1
古,いにしえ,n1
祈り,いのり,n1
鼾,いびき,n1
今更,いまさら,n1
未だ,いまだ,n1
移民,いみん,n1
厭々,いやいや,n1
卑しい,いやしい,n1
いやに,いやに,n1
厭やらしい,いやらしい,n1
愈々,いよいよ,n1
意欲,いよく,n1
苛々,いらいら,n1
入口,いりくち,n1
衣料,いりょう,n1
威力,いりょく,n1
入る,いる,n1
衣類,いるい,n1
色々,いろいろ,n1
異論,いろん,n1
所謂,いわゆる,n1
印,いん,n1
員,いん,n1
印鑑,いんかん,n1
陰気,いんき,n1
隠居,いんきょ,n1
上下,うえした,n1
浮かぶ,うかぶ,n1
受かる,うかる,n1
含嗽,うがい,n1
受け入れ,うけいれ,n1
受け入れる,うけいれる,n1
受け継ぐ,うけつぐ,n1
受け付ける,うけつける,n1
受け止める,うけとめる,n1
受け取り,うけとり,n1
受身,うけみ,n1
動き,うごき,n1
潮,うしお,n1
氏,うじ,n1
渦,うず,n1
埋まる,うずまる,n1
嘘つき,うそつき,n1
打ち合わせ,うちあわせ,n1
打ち合わせる,うちあわせる,n1
打ち切る,うちきる,n1
打ち消し,うちけし,n1
打ち込む,うちこむ,n1
団扇,うちわ,n1
内訳,うちわけ,n1
訴え,うったえ,n1
鬱陶しい,うっとうしい,n1
写し,うつし,n1
空ろ,うつろ,n1
器,うつわ,n1
雨天,うてん,n1
腕前,うでまえ,n1
饂飩,うどん,n1
促す,うながす,n1
